dba,boro,building,street,zipcode,cuisine_description,violation_description,critical_flag,score,grade,grade_date,record_date
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,27,B,2024-04-23T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,27,B,2024-04-23T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,27,B,2024-04-23T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2022-08-19T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,2022-01-24T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,2022-01-24T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,12,A,2025-04-30T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,2025-04-30T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2025-04-30T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A,2025-04-30T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,2024-04-08T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,2024-04-08T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2024-04-08T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,Live roaches in facility's food or non-food area.,Critical,9,A,2023-01-17T00:00:00.000,2025-05-07T06:00:15.000
TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,Frozen Desserts,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,2023-01-17T00:00:00.000,2025-05-07T06:00:15.000
WILD ASIA,Bronx,2300,SOUTHERN BOULEVARD,10460.0,American,Hot TCS food item not held at or above 140 °F.,Critical,12,A,2024-05-21T00:00:00.000,2025-05-07T06:00:15.000
WILD ASIA,Bronx,2300,SOUTHERN BOULEVARD,10460.0,American,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2024-05-21T00:00:00.000,2025-05-07T06:00:15.000
WILD ASIA,Bronx,2300,SOUTHERN BOULEVARD,10460.0,American,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,10,A,2021-07-28T00:00:00.000,2025-05-07T06:00:15.000
WILD ASIA,Bronx,2300,SOUTHERN BOULEVARD,10460.0,American,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,10,A,2021-07-28T00:00:00.000,2025-05-07T06:00:15.000
1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065.0,American,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,2022-05-03T00:00:00.000,2025-05-07T06:00:15.000
1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065.0,American,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2022-05-03T00:00:00.000,2025-05-07T06:00:15.000
1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065.0,American,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,2019-10-01T00:00:00.000,2025-05-07T06:00:15.000
1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065.0,American,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2019-10-01T00:00:00.000,2025-05-07T06:00:15.000
NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224.0,Hotdogs,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,2023-04-26T00:00:00.000,2025-05-07T06:00:15.000
NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224.0,Hotdogs,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,2023-04-26T00:00:00.000,2025-05-07T06:00:15.000
NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224.0,Hotdogs,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2022-02-10T00:00:00.000,2025-05-07T06:00:15.000
NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224.0,Hotdogs,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,2022-02-10T00:00:00.000,2025-05-07T06:00:15.000
NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224.0,Hotdogs,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2022-02-10T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,2024-07-29T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,5,A,2024-07-29T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,Live roaches in facility's food or non-food area.,Critical,13,A,2023-01-31T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,2023-01-31T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,2023-01-31T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2023-01-31T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,Hot food item not held at or above 140º F.,Critical,12,A,2022-01-05T00:00:00.000,2025-05-07T06:00:15.000
SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,Jewish/Kosher,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2022-01-05T00:00:00.000,2025-05-07T06:00:15.000
SAL'S DELI,Queens,12908,20 AVENUE,11356.0,Sandwiches,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,2024-09-16T00:00:00.000,2025-05-07T06:00:15.000
SAL'S DELI,Queens,12908,20 AVENUE,11356.0,Sandwiches,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A,2024-09-16T00:00:00.000,2025-05-07T06:00:15.000
SAL'S DELI,Queens,12908,20 AVENUE,11356.0,Sandwiches,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,13,A,2023-04-26T00:00:00.000,2025-05-07T06:00:15.000
SAL'S DELI,Queens,12908,20 AVENUE,11356.0,Sandwiches,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,2023-04-26T00:00:00.000,2025-05-07T06:00:15.000
SAL'S DELI,Queens,12908,20 AVENUE,11356.0,Sandwiches,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,2023-04-26T00:00:00.000,2025-05-07T06:00:15.000
SAL'S DELI,Queens,12908,20 AVENUE,11356.0,Sandwiches,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2023-04-26T00:00:00.000,2025-05-07T06:00:15.000
SAL'S DELI,Queens,12908,20 AVENUE,11356.0,Sandwiches,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,5,A,2022-02-01T00:00:00.000,2025-05-07T06:00:15.000
STEVE CHU'S DELI & GROCERY,Queens,3406,10 STREET,11106.0,Sandwiches,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,5,A,2024-03-07T00:00:00.000,2025-05-07T06:00:15.000
STEVE CHU'S DELI & GROCERY,Queens,3406,10 STREET,11106.0,Sandwiches,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,2022-12-12T00:00:00.000,2025-05-07T06:00:15.000
STEVE CHU'S DELI & GROCERY,Queens,3406,10 STREET,11106.0,Sandwiches,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,2022-12-12T00:00:00.000,2025-05-07T06:00:15.000
STEVE CHU'S DELI & GROCERY,Queens,3406,10 STREET,11106.0,Sandwiches,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7,A,2021-08-11T00:00:00.000,2025-05-07T06:00:15.000
STEVE CHU'S DELI & GROCERY,Queens,3406,10 STREET,11106.0,Sandwiches,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,2021-08-11T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2025-03-27T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13,A,2025-03-27T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2025-03-27T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,A,2024-04-17T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2024-04-17T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2024-04-17T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A,2023-02-07T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2023-02-07T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,12,A,2022-08-16T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,2022-08-16T00:00:00.000,2025-05-07T06:00:15.000
P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,American,Thawing procedure improper.,Not Critical,12,A,2022-08-16T00:00:00.000,2025-05-07T06:00:15.000
ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012.0,American,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,2023-06-21T00:00:00.000,2025-05-07T06:00:15.000
ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012.0,American,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11,A,2023-06-21T00:00:00.000,2025-05-07T06:00:15.000
ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012.0,American,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,2023-06-21T00:00:00.000,2025-05-07T06:00:15.000
ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012.0,American,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,11,A,2023-06-21T00:00:00.000,2025-05-07T06:00:15.000
ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012.0,American,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,2022-02-14T00:00:00.000,2025-05-07T06:00:15.000
HO MEI RESTAURANT,Queens,10305,37 AVENUE,11368.0,Chinese,Hot TCS food item not held at or above 140 °F.,Critical,9,A,2024-11-12T00:00:00.000,2025-05-07T06:00:15.000
HO MEI RESTAURANT,Queens,10305,37 AVENUE,11368.0,Chinese,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,9,A,2024-11-12T00:00:00.000,2025-05-07T06:00:15.000
HO MEI RESTAURANT,Queens,10305,37 AVENUE,11368.0,Chinese,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,2022-10-25T00:00:00.000,2025-05-07T06:00:15.000
HO MEI RESTAURANT,Queens,10305,37 AVENUE,11368.0,Chinese,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,2022-10-25T00:00:00.000,2025-05-07T06:00:15.000
SHASHEMENE INT'L RESTAURANT,Brooklyn,195,EAST   56 STREET,11203.0,Caribbean,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2024-10-18T00:00:00.000,2025-05-07T06:00:15.000
SHASHEMENE INT'L RESTAURANT,Brooklyn,195,EAST   56 STREET,11203.0,Caribbean,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,9,A,2024-10-18T00:00:00.000,2025-05-07T06:00:15.000
SHASHEMENE INT'L RESTAURANT,Brooklyn,195,EAST   56 STREET,11203.0,Caribbean,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,8,A,2022-03-09T00:00:00.000,2025-05-07T06:00:15.000
CAFE METRO,Manhattan,625,8 AVENUE,10018.0,American,Hot TCS food item not held at or above 140 °F.,Critical,13,A,2025-05-01T00:00:00.000,2025-05-07T06:00:15.000
CAFE METRO,Manhattan,625,8 AVENUE,10018.0,American,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2025-05-01T00:00:00.000,2025-05-07T06:00:15.000
CAFE METRO,Manhattan,625,8 AVENUE,10018.0,American,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,2024-01-30T00:00:00.000,2025-05-07T06:00:15.000
CAFE METRO,Manhattan,625,8 AVENUE,10018.0,American,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,12,A,2024-01-30T00:00:00.000,2025-05-07T06:00:15.000
CAFE METRO,Manhattan,625,8 AVENUE,10018.0,American,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,2,A,2022-09-02T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,2024-04-29T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,11,A,2024-04-29T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,2024-04-29T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,2023-05-03T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2023-05-03T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,2022-06-09T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,12,A,2022-06-09T00:00:00.000,2025-05-07T06:00:15.000
BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,Sandwiches,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2022-06-09T00:00:00.000,2025-05-07T06:00:15.000
